Source,Target,Weight
178,328,27
391,178,10
344,134,59
188,188,8
7,247,7
247,226,13
112,247,26
112,226,29
46,194,64
247,126,14
543,296,71
543,154,14
85,543,85
543,126,6
344,544,54
522,522,18
522,544,10
827,134,47
126,827,20
159,522,14
127,127,89
494,127,37
46,494,42
733,494,18
494,194,20
284,966,93
284,247,21
284,284,36
284,157,9
966,247,10
966,157,12
247,157,27
157,81,35
247,328,4
287,328,6
7,328,7
440,247,8
440,287,16
7,287,28
440,7,14
319,16,50
157,16,123
319,157,18
156,156,35
156,194,51
154,1029,19
68,900,16
13,900,9
14,900,35
284,68,18
156,134,22
67,156,21
707,156,8
156,424,6
41,707,36
707,424,5
171,68,36
14,41,93
171,14,36
966,1029,4
41,1029,57
178,233,36
157,233,11
874,233,35
112,284,45
966,966,47
284,16,67
733,344,39
344,194,25
1516,233,2
188,120,6
344,1029,32
723,344,23
14,874,47
14,178,38
14,14,79
874,128,53
723,178,38
222,178,74
178,226,39
222,222,84
172,2,25
251,14,16
172,14,15
251,172,19
154,226,43
368,41,78
368,178,21
127,157,56
41,127,106
900,154,28
908,900,13
522,900,9
522,154,12
522,908,3
242,226,13
2,440,52
440,440,89
440,226,20
188,154,35
67,900,47
874,2751,320
902,2751,294
156,2751,262
1516,2751,261
2110,2751,261
76,2751,268
2110,874,210
76,874,214
2110,902,243
76,902,254
2110,156,242
76,156,244
1516,2110,365
76,1516,256
76,2110,363
222,438,76
222,328,70
595,222,51
522,178,32
595,579,9
579,1,73
734,81,19
1029,134,47
522,134,36
344,128,21
85,156,38
156,123,5
827,123,40
95,46,117
46,156,51
543,156,6
543,827,16
95,156,7
95,171,33
156,827,8
171,874,58
543,128,30
112,543,50
68,128,23
827,226,30
1029,226,13
900,226,8
328,226,23
4,900,36
827,1029,24
14,827,16
188,827,12
188,1029,28
900,1029,32
328,1029,7
14,188,60
14,328,10
188,900,48
188,328,18
328,900,4
222,287,20
247,134,26
543,134,35
543,4,30
14,166,11
14,85,96
245,226,28
171,387,70
387,387,5
171,733,42
733,157,9
595,422,9
245,440,13
171,440,77
595,344,39
734,344,61
908,344,36
734,16,102
908,16,86
595,734,49
595,908,32
908,734,38
222,734,77
908,222,75
166,123,26
46,166,77
166,222,26
222,123,39
391,287,7
966,156,15
733,371,3
733,4,25
157,422,69
166,233,32
222,134,86
496,496,10
245,166,3
245,579,6
95,245,12
579,166,6
95,166,10
579,222,18
95,579,11
95,222,33
2,827,32
2,128,24
440,361,15
440,134,16
85,440,52
361,134,37
1096,154,31
159,1096,14
127,120,36
14,344,38
112,194,125
14,194,14
251,112,68
112,63,65
258,494,79
368,81,34
112,424,26
172,422,13
76,422,4
172,76,12
172,908,8
76,908,5
251,81,53
251,319,12
251,284,30
284,319,12
579,319,16
579,4,27
284,579,9
387,902,14
902,134,15
159,319,21
159,296,45
251,233,23
1096,123,26
157,226,22
595,226,15
595,112,14
595,157,15
902,226,8
902,157,6
595,902,3
68,908,15
543,166,9
543,908,19
95,112,13
95,908,14
908,166,6
112,908,25
908,81,39
120,123,20
543,120,24
172,387,18
41,422,18
874,422,21
178,154,57
387,178,38
296,156,23
67,81,118
242,344,14
258,344,35
874,371,9
222,371,21
159,371,12
112,371,25
296,371,44
387,371,16
543,422,15
95,422,20
368,827,29
2,368,55
41,966,22
522,166,5
387,522,19
41,522,22
387,166,20
41,166,23
707,391,15
368,543,4
95,368,5
251,368,12
251,543,29
908,4,43
251,157,35
4,157,48
579,296,65
579,16,47
579,226,18
222,128,16
296,222,48
827,194,10
344,424,28
85,544,98
13,544,34
120,154,38
14,154,20
733,120,11
14,733,23
14,120,14
7,157,13
247,544,24
544,544,38
544,63,19
166,544,16
734,544,44
2,424,19
16,424,62
156,287,4
368,422,22
494,4,13
171,494,12
95,440,14
440,296,36
242,222,60
242,438,40
242,328,30
242,827,35
2,438,51
2,328,38
222,827,35
245,4,61
245,827,41
827,154,19
2,1096,33
387,188,37
76,134,14
76,827,9
76,368,18
368,222,24
67,76,22
67,120,56
67,222,92
76,120,4
76,222,14
222,120,16
178,63,43
159,178,28
178,157,25
127,2751,7
707,2751,9
67,2751,9
171,2751,4
2751,81,4
171,707,11
707,81,16
914,63,14
247,914,6
67,438,29
68,440,22
68,438,24
251,188,12
188,874,6
41,188,19
188,734,6
251,13,21
13,734,4
251,41,98
46,579,52
579,874,17
85,1096,70
579,1096,9
284,328,31
284,827,27
284,14,22
171,328,40
245,328,26
159,827,27
159,14,14
2,68,109
245,85,66
46,734,102
41,120,48
112,579,24
579,126,15
424,63,14
7,424,18
1096,424,11
368,544,25
874,544,32
159,188,9
368,166,37
874,424,25
120,424,8
95,4,23
233,63,14
233,233,21
67,734,61
7,734,4
95,242,31
67,172,40
4,154,46
368,424,23
368,194,50
368,128,28
579,134,20
157,424,16
157,194,17
579,157,24
194,424,10
579,194,6
194,128,25
579,128,20
424,371,13
251,371,19
251,391,27
391,1,42
391,371,2
579,371,11
579,391,10
85,371,48
287,1029,7
247,1029,19
159,7,20
7,127,23
319,319,8
319,900,8
159,900,10
440,154,38
440,123,33
14,422,8
723,171,32
723,371,16
874,496,10
159,496,10
1029,496,4
159,123,64
159,1029,21
157,1029,25
1029,123,9
67,159,88
733,1,37
2,733,35
251,733,33
440,127,26
127,222,42
188,123,10
387,123,24
76,966,2
112,76,12
76,16,23
966,127,27
68,391,41
76,68,46
391,543,8
391,874,12
76,391,11
41,391,23
76,543,2
41,543,21
76,41,31
543,287,15
76,287,14
440,827,30
966,178,17
222,63,39
156,4,15
156,344,14
391,16,53
391,908,11
13,127,25
127,544,72
14,544,16
188,544,13
371,371,31
242,900,12
579,902,10
68,902,65
368,902,7
579,178,10
68,178,33
85,258,34
287,157,24
14,157,15
908,287,27
14,908,9
171,194,22
222,194,28
251,494,12
251,966,11
171,522,23
171,134,66
171,424,32
2,522,30
67,245,55
723,120,8
723,827,23
4,1096,28
827,1096,14
1096,128,19
296,1096,43
120,544,27
296,328,21
707,328,5
159,707,5
908,178,23
1096,233,4
95,424,7
251,226,29
222,319,16
319,128,15
319,422,6
127,900,24
387,900,10
296,494,29
595,296,41
440,233,13
440,178,29
368,123,31
579,123,39
579,7,4
171,579,32
522,188,24
522,734,3
41,579,23
723,496,8
245,422,11
245,128,12
245,178,26
543,178,22
95,16,24
95,178,8
284,63,18
440,16,113
440,81,70
440,908,23
440,733,28
67,908,33
67,733,45
171,908,32
733,81,10
733,908,24
733,222,10
171,900,22
900,123,10
900,81,6
284,178,15
284,2,14
13,1029,20
522,874,26
245,900,8
172,900,2
13,178,22
13,13,8
361,874,14
1096,134,25
361,1096,14
908,361,9
159,908,3
543,361,20
67,543,44
159,361,3
258,438,15
368,258,35
171,391,14
67,391,40
172,579,8
172,81,157
258,127,32
368,1029,3
579,1029,10
1029,81,14
387,258,21
258,154,32
14,258,2
258,16,51
166,424,27
900,900,22
440,188,45
440,344,31
440,387,22
159,494,6
171,422,24
166,126,11
126,123,14
68,126,23
222,126,1
522,1029,18
14,522,16
522,4,34
387,1029,12
159,1516,2
247,424,20
707,966,2
126,81,9
440,126,2
166,127,22
2,361,21
734,361,21
579,120,5
67,209,36
67,258,22
707,258,6
707,494,10
707,371,12
2,900,23
733,914,7
120,914,2
159,914,4
159,733,13
159,120,17
120,734,11
188,127,9
159,247,21
368,247,13
14,242,4
251,1029,18
172,371,10
172,328,4
328,81,22
156,166,14
579,156,6
13,908,13
723,319,10
723,81,24
440,544,14
7,1029,7
284,13,15
284,368,20
284,128,12
284,194,17
13,128,20
13,194,8
242,63,16
242,128,6
543,226,8
391,247,8
166,361,18
440,156,4
1029,371,2
14,371,4
188,371,13
172,1029,16
14,319,17
733,424,13
424,424,9
41,371,23
188,126,13
41,496,30
284,222,35
4,194,30
440,496,9
247,496,12
251,496,22
171,496,30
579,242,6
2,579,19
900,371,7
13,361,10
68,194,12
68,319,16
391,134,15
391,123,2
4,544,31
13,344,23
368,966,63
13,154,23
361,154,25
595,154,15
595,13,12
361,544,10
595,361,8
595,544,23
595,4,28
13,233,6
233,544,33
595,233,10
966,391,21
85,2110,17
2110,134,6
2110,13,4
2110,154,2
2110,127,7
2110,16,17
194,544,9
7,178,13
178,287,18
874,900,13
222,900,6
68,1029,33
171,1029,30
95,391,1
95,387,10
154,371,18
95,900,4
159,391,7
361,422,20
387,422,3
361,81,13
387,361,12
112,734,14
734,1096,58
172,134,25
172,41,49
172,127,22
251,126,27
67,371,45
209,4,15
14,126,18
67,496,34
4,496,26
222,496,11
284,440,11
733,188,6
284,188,6
284,296,38
284,733,14
2751,2751,33
344,2751,6
159,128,8
579,13,14
68,209,17
209,157,7
41,209,10
171,1096,37
178,371,37
1516,371,6
1516,154,8
251,154,47
127,328,12
344,422,12
422,438,25
328,422,22
344,438,16
328,344,23
178,438,27
287,120,8
166,166,15
166,178,13
595,171,13
245,733,6
245,368,18
707,178,10
966,63,16
966,194,27
284,127,22
595,134,13
595,81,5
595,68,40
595,63,14
496,63,49
112,496,35
16,496,50
422,371,48
126,344,11
908,827,15
440,522,20
209,134,15
914,914,10
67,914,12
171,914,9
171,209,10
319,544,19
544,496,18
319,496,14
371,128,18
733,827,16
344,496,20
733,496,9
120,496,6
14,424,5
13,424,15
127,424,24
